,Unnamed: 0,sub,character,character_firstname
0,0,Category:Deceased individuals,Giffard Abbott,Giffard
1,1,Category:Deceased individuals,Falco Aesalon,Falco
2,2,Category:Deceased individuals,Walter Aragon,Walter
3,3,Category:Deceased individuals,Podric Batworthy,Podric
4,4,Category:Deceased individuals,Bragbor the Boastful,Bragbor
5,5,Category:Deceased individuals,Bran the Bloodthirsty,Bran
6,6,Category:Deceased individuals,Brutus,Brutus
7,7,Category:Deceased individuals,Angus Buchanan,Angus
8,8,Category:Deceased individuals,Zygmunt Budge,Zygmunt
9,9,Category:Deceased individuals,Henry Bumblepuft,Henry
10,10,Category:Deceased individuals,Elizabeth Burke,Elizabeth
11,11,Category:Deceased individuals,Catchpole,Catchpole
12,12,Category:Deceased individuals,Cliodna,Cliodna
13,13,Category:Deceased individuals,Antonia Creaseworthy,Antonia
14,14,Category:Deceased individuals,Crookshanks,Crookshanks
15,15,Category:Deceased individuals,Marmaduke Dale,Marmaduke
16,16,Category:Deceased individuals,Deek and Tobbs's first master,Deek
17,17,Category:Deceased individuals,Petunia Dursley,Petunia
18,18,Category:Deceased individuals,Ekrizdis,Ekrizdis
19,19,Category:Deceased individuals,Errol,Errol
20,20,Category:Deceased individuals,Ethelred the Ever-Ready,Ethelred
21,21,Category:Deceased individuals,Fat Lady,Fat
22,22,Category:Deceased individuals,Wilhelm Fischer,Wilhelm
23,23,Category:Deceased individuals,Niamh Fitzgerald,Niamh
24,24,Category:Deceased individuals,Frazier,Frazier
25,25,Category:Deceased individuals,Basil Fronsac,Basil
26,26,Category:Deceased individuals,Ferdinand da Gama,Ferdinand
27,27,Category:Deceased individuals,Corvinus Gaunt,Corvinus
28,28,Category:Deceased individuals,Morfin Gaunt's first snake,Morfin
29,29,Category:Deceased individuals,Ominis Gaunt,Ominis
30,30,Category:Deceased individuals,Ominis Gaunt's father,Ominis
31,31,Category:Deceased individuals,Ominis Gaunt's mother,Ominis
32,32,Category:Deceased individuals,Ominis Gaunt's older siblings,Ominis
34,34,Category:Deceased individuals,Godfrey the Gormless,Godfrey
35,35,Category:Deceased individuals,Gondulphus Graves,Gondulphus
36,36,Category:Deceased individuals,Aquila Greengrass,Aquila
37,37,Category:Deceased individuals,Robert Grimsditch,Robert
38,38,Category:Deceased individuals,Grogory,Grogory
39,39,Category:Deceased individuals,Godric Gryffindor,Godric
40,40,Category:Deceased individuals,First Headmaster of Hogwarts,First
41,41,Category:Deceased individuals,Heath Heatherton,Heath
42,42,Category:Deceased individuals,Hedwig ,Hedwig
43,43,Category:Deceased individuals,Hengist of Upper Barnton,Hengist
44,44,Category:Deceased individuals,Helga Hufflepuff,Helga
45,45,Category:Deceased individuals,Helixa Hyslop,Helixa
46,46,Category:Deceased individuals,Syna Hyslop,Syna
48,48,Category:Deceased individuals,Mary Jauncey,Mary
49,49,Category:Deceased individuals,John,John
50,50,Category:Deceased individuals,Mustafa Kama,Mustafa
51,51,Category:Deceased individuals,Silvanus Kettleburn,Silvanus
52,52,Category:Deceased individuals,Kreacher,Kreacher
53,53,Category:Deceased individuals,Linfred of Stinchcombe,Linfred
54,54,Category:Deceased individuals,Carlos Lopez,Carlos
55,55,Category:Deceased individuals,Luke,Luke
56,56,Category:Deceased individuals,Mungo MacDuff,Mungo
57,57,Category:Deceased individuals,Armand Malfoy,Armand
58,58,Category:Deceased individuals,Lucius Malfoy I,Lucius
59,59,Category:Deceased individuals,Mark,Mark
60,60,Category:Deceased individuals,Mary,Mary
61,61,Category:Deceased individuals,Matthew,Matthew
62,62,Category:Deceased individuals,Isidora Morganach's brother,Isidora
63,63,Category:Deceased individuals,Napier,Napier
64,64,Category:Deceased individuals,Cormac O'Brien,Cormac
65,65,Category:Deceased individuals,Odo,Odo
66,66,Category:Deceased individuals,Opal Necklace's unidentified victims,Opal
67,67,Category:Deceased individuals,Oswald,Oswald
68,68,Category:Deceased individuals,Prentiss Pagett-Goggins,Prentiss
69,69,Category:Deceased individuals,Pangur Donn,Pangur
70,70,Category:Deceased individuals,Antioch Peverell's killer,Antioch
71,71,Category:Deceased individuals,Ignotus Peverell's son,Ignotus
72,72,Category:Deceased individuals,Portrait of a Healer in St Mungo's Hospital,Portrait
73,73,Category:Deceased individuals,Abraham Potter,Abraham
74,74,Category:Deceased individuals,Fleamont Potter's mother,Fleamont
75,75,Category:Deceased individuals,Hardwin Potter,Hardwin
76,76,Category:Deceased individuals,Hardwin Potter's siblings,Hardwin
