,sub,character
0,Category:Deceased individuals,Giffard Abbott
1,Category:Deceased individuals,Falco Aesalon
2,Category:Deceased individuals,Walter Aragon
3,Category:Deceased individuals,Podric Batworthy
4,Category:Deceased individuals,Bragbor the Boastful
5,Category:Deceased individuals,Bran the Bloodthirsty
6,Category:Deceased individuals,Brutus
7,Category:Deceased individuals,Angus Buchanan
8,Category:Deceased individuals,Zygmunt Budge
9,Category:Deceased individuals,Henry Bumblepuft
10,Category:Deceased individuals,Elizabeth Burke
11,Category:Deceased individuals,Catchpole
12,Category:Deceased individuals,Cliodna
13,Category:Deceased individuals,Antonia Creaseworthy
14,Category:Deceased individuals,Crookshanks
15,Category:Deceased individuals,Marmaduke Dale
16,Category:Deceased individuals,Deek and Tobbs's first master
17,Category:Deceased individuals,Petunia Dursley
18,Category:Deceased individuals,Ekrizdis
19,Category:Deceased individuals,Errol
20,Category:Deceased individuals,Ethelred the Ever-Ready
21,Category:Deceased individuals,Fat Lady
22,Category:Deceased individuals,Wilhelm Fischer
23,Category:Deceased individuals,Niamh Fitzgerald
24,Category:Deceased individuals,Frazier
25,Category:Deceased individuals,Basil Fronsac
26,Category:Deceased individuals,Ferdinand da Gama
27,Category:Deceased individuals,Corvinus Gaunt
28,Category:Deceased individuals,Morfin Gaunt's first snake
29,Category:Deceased individuals,Ominis Gaunt
30,Category:Deceased individuals,Ominis Gaunt's father
31,Category:Deceased individuals,Ominis Gaunt's mother
32,Category:Deceased individuals,Ominis Gaunt's older siblings
33,Category:Deceased individuals,Category:Ghosts
34,Category:Deceased individuals,Godfrey the Gormless
35,Category:Deceased individuals,Gondulphus Graves
36,Category:Deceased individuals,Aquila Greengrass
37,Category:Deceased individuals,Robert Grimsditch
38,Category:Deceased individuals,Grogory
39,Category:Deceased individuals,Godric Gryffindor
40,Category:Deceased individuals,First Headmaster of Hogwarts
41,Category:Deceased individuals,Heath Heatherton
42,Category:Deceased individuals,Hedwig (wizard)
43,Category:Deceased individuals,Hengist of Upper Barnton
44,Category:Deceased individuals,Helga Hufflepuff
45,Category:Deceased individuals,Helixa Hyslop
46,Category:Deceased individuals,Syna Hyslop
47,Category:Deceased individuals,Category:Individuals by death
48,Category:Deceased individuals,Mary Jauncey
49,Category:Deceased individuals,John
50,Category:Deceased individuals,Mustafa Kama
51,Category:Deceased individuals,Silvanus Kettleburn
52,Category:Deceased individuals,Kreacher
53,Category:Deceased individuals,Linfred of Stinchcombe
54,Category:Deceased individuals,Carlos Lopez
55,Category:Deceased individuals,Luke
56,Category:Deceased individuals,Mungo MacDuff
57,Category:Deceased individuals,Armand Malfoy
58,Category:Deceased individuals,Lucius Malfoy I
59,Category:Deceased individuals,Mark
60,Category:Deceased individuals,Mary
61,Category:Deceased individuals,Matthew
62,Category:Deceased individuals,Isidora Morganach's brother
63,Category:Deceased individuals,Napier
64,Category:Deceased individuals,Cormac O'Brien
65,Category:Deceased individuals,Odo
66,Category:Deceased individuals,Opal Necklace's unidentified victims
67,Category:Deceased individuals,Oswald
68,Category:Deceased individuals,Prentiss Pagett-Goggins
69,Category:Deceased individuals,Pangur Donn
70,Category:Deceased individuals,Antioch Peverell's killer
71,Category:Deceased individuals,Ignotus Peverell's son
72,Category:Deceased individuals,Portrait of a Healer in St Mungo's Hospital
73,Category:Deceased individuals,Abraham Potter
74,Category:Deceased individuals,Fleamont Potter's mother
75,Category:Deceased individuals,Hardwin Potter
76,Category:Deceased individuals,Hardwin Potter's siblings
77,Category:Deceased individuals,Henry Potter's father
78,Category:Deceased individuals,Henry Potter's mother
79,Category:Deceased individuals,Ralston Potter
80,Category:Deceased individuals,Ferdinand Octavius Pratt
81,Category:Deceased individuals,Berthilde Roche
82,Category:Deceased individuals,Victor Rookwood's father
83,Category:Deceased individuals,Edessa Sakndenberg
84,Category:Deceased individuals,Brutus Scrimgeour
85,Category:Deceased individuals,Leticia Somnolens
86,Category:Deceased individuals,Phyllida Spore
87,Category:Deceased individuals,Amrose Swott
88,Category:Deceased individuals,Quentin Trimble
89,Category:Deceased individuals,Troglodous
90,Category:Deceased individuals,Greville Twiddle
91,Category:Deceased individuals,Fytherley Undercliffe
92,Category:Deceased individuals,Unidentified deceased Hippogriff
93,Category:Deceased individuals,Unidentified pioneer in Dragon Taming
94,Category:Deceased individuals,Vindictus Viridian
95,Category:Deceased individuals,Nerida Vulchanova
96,Category:Deceased individuals,Warlock's family
97,Category:Deceased individuals,Helmut Weiss
98,Category:Deceased individuals,Bridget Wenlock's cousin
99,Category:Deceased individuals,Heliotrope Wilkins
100,Category:Deceased individuals,Witch who stole the Helmet of Urtkot
101,Category:Deceased individuals,Wizard's father
102,Category:Deceased individuals,Indira Wolff's father
103,Category:Deceased individuals,Blaise Zabini's mother's seven husbands
104,Category:Deities,Angel of Death
105,Category:Deities,Artemis (goddess)
106,Category:Deities,Bast
107,Category:Deities,Devil
108,Category:Deities,God
109,Category:Deities,Jesus
110,Category:Fictional characters,Altheda
111,Category:Fictional characters,Amata
112,Category:Fictional characters,Amata's lover
113,Category:Fictional characters,Asha
114,Category:Fictional characters,Britannia
115,Category:Fictional characters,Captain of the Brigade of Witch-Hunters
116,Category:Fictional characters,Charlatan
117,Category:Fictional characters,Crapaud
118,Category:Fictional characters,Death (The Tale of the Three Brothers)
119,Category:Fictional characters,Count Dracula
120,Category:Fictional characters,Evil sorcerer
121,Category:Fictional characters,Father Christmas
122,Category:Fictional characters,Flurry
123,Category:Fictional characters,Grenouille
124,Category:Fictional characters,Grumble
125,Category:Fictional characters,Dirgah Hagrid
126,Category:Fictional characters,The Hopping Pot
127,Category:Fictional characters,King (Babbitty Rabbitty and her Cackling Stump)
128,Category:Fictional characters,Maiden
129,Category:Fictional characters,Maiden's kinsfolk
130,Category:Fictional characters,Martin Miggs
131,Category:Fictional characters,Loony Nonby
132,Category:Fictional characters,Old man
